Row,Cdbest,Cdmean,Cdstd,Cebest,Cemean,Cestd
$C_{11}$,114.10,119.59,5.12,123.77,123.77,0.00
$C_{12}$,  8.91,  8.87,0.09,  8.93,  8.93,0.00
$C_{13}$,  6.23,  7.47,1.39,  5.41,  5.41,0.00
$C_{22}$, 16.50, 16.47,0.04, 16.50, 16.50,0.00
$C_{23}$,  2.52,  2.51,0.02,  2.73,  2.73,0.00
$C_{33}$,  5.54,  5.74,0.19,  5.67,  5.67,0.00
$C_{44}$,  2.90,  2.95,0.12,  2.34,  2.34,0.00
$C_{55}$,  6.07,  5.85,0.49,  6.30,  6.30,0.00
$C_{66}$,  6.14,  5.46,0.95,  6.30,  6.30,0.00
$F$,131.19,131.59,0.48,142.81,142.81,0.00
