Row,Cdbest,Cdmean,Cdstd,Cebest,Cemean,Cestd
$C_{11}$,117.32,114.70,5.59,123.77,123.77,0.00
$C_{12}$,  3.10,  4.42,1.72,  8.93,  8.93,0.00
$C_{13}$,  7.62,  7.04,1.27,  5.41,  5.41,0.00
$C_{22}$, 16.27, 16.21,0.42, 16.50, 16.50,0.00
$C_{23}$,  2.84,  4.04,1.31,  2.73,  2.73,0.00
$C_{33}$,  6.23,  6.52,0.35,  5.67,  5.67,0.00
$C_{44}$,  2.81,  3.28,0.40,  2.34,  2.34,0.00
$C_{55}$,  6.09,  4.97,1.08,  6.30,  6.30,0.00
$C_{66}$,  2.63,  3.70,1.22,  6.30,  6.30,0.00
$F$,125.18,126.62,0.93,142.81,142.81,0.00
