Row,Cdbest,Cdmean,Cdstd,Cebest,Cemean,Cestd
$C_{11}$,135.15,137.59,1.78, 138.24, 138.22,2.50
$C_{12}$,  5.32,  5.46,0.29,   7.65,   6.29,1.40
$C_{13}$,  5.38,  6.08,0.65,   7.85,   6.07,2.03
$C_{22}$, 12.43, 12.40,0.29,  13.84,  12.13,1.25
$C_{23}$,  5.95,  6.01,0.22,   8.00,   5.72,1.66
$C_{33}$, 11.64, 11.76,0.15,  14.38,  11.46,2.09
$C_{44}$,  3.10,  3.11,0.02,   3.07,   3.12,0.06
$C_{55}$,  5.09,  5.10,0.01,   5.11,   5.11,0.02
$C_{66}$,  4.89,  4.93,0.07,   4.99,   5.08,0.10
$F$, 16.91, 17.02,0.10,-436.88,-435.14,1.82
