Row,Cdbest,Cdmean,Cdstd,Cebest,Cemean,Cestd
$C_{11}$,139.30,138.05,3.83, 138.24, 138.22,2.50
$C_{12}$,  6.73,  6.14,0.50,   7.65,   6.29,1.40
$C_{13}$,  6.52,  5.73,0.84,   7.85,   6.07,2.03
$C_{22}$, 12.64, 12.47,0.14,  13.84,  12.13,1.25
$C_{23}$,  6.16,  5.97,0.15,   8.00,   5.72,1.66
$C_{33}$, 11.87, 11.68,0.17,  14.38,  11.46,2.09
$C_{44}$,  3.07,  3.11,0.04,   3.07,   3.12,0.06
$C_{55}$,  5.15,  5.12,0.04,   5.11,   5.11,0.02
$C_{66}$,  4.16,  4.14,0.07,   4.99,   5.08,0.10
$F$,-26.55,-26.07,0.39,-436.88,-435.14,1.82
