Row,Cdbest,Cdmean,Cdstd,Cebest,Cemean,Cestd
$C_{11}$,137.54,135.33,1.41, 138.24, 138.22,2.50
$C_{12}$,  6.08,  5.69,0.57,   7.65,   6.29,1.40
$C_{13}$,  5.49,  4.97,0.58,   7.85,   6.07,2.03
$C_{22}$, 12.37, 12.30,0.14,  13.84,  12.13,1.25
$C_{23}$,  5.99,  5.86,0.16,   8.00,   5.72,1.66
$C_{33}$, 11.71, 11.59,0.12,  14.38,  11.46,2.09
$C_{44}$,  3.14,  3.12,0.02,   3.07,   3.12,0.06
$C_{55}$,  5.15,  5.18,0.02,   5.11,   5.11,0.02
$C_{66}$,  4.34,  4.26,0.11,   4.99,   5.08,0.10
$F$,-25.52,-25.31,0.15,-436.88,-435.14,1.82
